,season,team1,team2,0,teams,ANA,ARI,ATL,BAL,BOS,CHC,CHW,CIN,CLE,COL,DET,FLA,HOU,KCR,LAD,MIL,MIN,NYM,NYY,OAK,PHI,PIT,SDP,SEA,SFG,STL,TBD,TEX,TOR,WSN
145,1872.0,WS4,ATL,1.0,ATLWS4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,1872.0,WS4,BL1,1.0,BL1WS4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,1872.0,WS4,CL1,1.0,CL1WS4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,1872.0,WS4,MID,1.0,MIDWS4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,1872.0,WS4,NY2,1.0,NY2WS4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,1872.0,WS4,TRO,1.0,TROWS4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,1872.0,WS4,WS3,1.0,WS3WS4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,1873.0,ATL,BL1,5.0,ATLBL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,1873.0,ATL,BR2,4.0,ATLBR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,1873.0,ATL,ELI,3.0,ATLELI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,1873.0,ATL,NY2,5.0,ATLNY2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,1873.0,ATL,PH1,5.0,ATLPH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,1873.0,ATL,PH2,4.0,ATLPH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,1873.0,ATL,WS5,4.0,ATLWS5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,1873.0,BL1,ATL,4.0,ATLBL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,1873.0,BL1,BL4,4.0,BL1BL4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,1873.0,BL1,BR2,4.0,BL1BR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,1873.0,BL1,ELI,1.0,BL1ELI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,1873.0,BL1,NY2,4.0,BL1NY2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,1873.0,BL1,PH1,2.0,BL1PH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,1873.0,BL1,PH2,4.0,BL1PH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,1873.0,BL1,WS5,3.0,BL1WS5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,1873.0,BL4,WS5,1.0,BL4WS5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,1873.0,BR2,ATL,5.0,ATLBR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,1873.0,BR2,BL1,5.0,BL1BR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,1873.0,BR2,ELI,4.0,BR2ELI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,1873.0,BR2,NY2,2.0,BR2NY2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,1873.0,BR2,PH1,4.0,BR2PH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,1873.0,BR2,PH2,5.0,BR2PH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,1873.0,BR2,WS5,3.0,BR2WS5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,1873.0,ELI,ATL,2.0,ATLELI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,1873.0,ELI,BL1,2.0,BL1ELI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,1873.0,ELI,NY2,1.0,ELINY2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,1873.0,ELI,PH1,1.0,ELIPH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,1873.0,ELI,PH2,2.0,ELIPH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,1873.0,NY2,ATL,4.0,ATLNY2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,1873.0,NY2,BL1,5.0,BL1NY2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,1873.0,NY2,BR2,7.0,BR2NY2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,1873.0,NY2,ELI,3.0,ELINY2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,1873.0,NY2,PH1,5.0,NY2PH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,1873.0,NY2,PH2,4.0,NY2PH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,1873.0,NY2,WS5,3.0,NY2WS5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,1873.0,PH1,ATL,4.0,ATLPH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,1873.0,PH1,BL1,5.0,BL1PH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,1873.0,PH1,BR2,5.0,BR2PH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,1873.0,PH1,ELI,1.0,ELIPH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,1873.0,PH1,NY2,4.0,NY2PH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,1873.0,PH1,PH2,2.0,PH1PH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,1873.0,PH1,WS5,6.0,PH1WS5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,1873.0,PH2,ATL,5.0,ATLPH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,1873.0,PH2,BL1,5.0,BL1PH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,1873.0,PH2,BR2,4.0,BR2PH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,1873.0,PH2,ELI,2.0,ELIPH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
